dataset_name	uuid	system	path
TCGA-A2-A0ES-01A-11D-A10Y-09.wxs.T.hg38	6c4cc8be-871a-4173-b4ad-4ad13f031017	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/6c4cc8be-871a-4173-b4ad-4ad13f031017/TCGA-A2-A0ES-01A-11D-A10Y-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0ES-10A-01D-A110-09.wxs.N.hg38	45b075ea-d0b2-4b7c-a163-68153fffbd06	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/45b075ea-d0b2-4b7c-a163-68153fffbd06/TCGA-A2-A0ES-10A-01D-A110-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0ES.ATAC-Seq.T.hg38	8a84ce1a-88b7-41c8-9ed8-d87bdde2df22	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/atacseq/8a84ce1a-88b7-41c8-9ed8-d87bdde2df22/d747eefa-5d9d-4cc7-b104-84e828260068_atacseq_gdc_realn.bam
TCGA-A2-A0ET-01A-31D-A045-09.wxs.T.hg38	5249bef8-bca8-45db-8b51-de0249bc3039	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/5249bef8-bca8-45db-8b51-de0249bc3039/TCGA-A2-A0ET-01A-31D-A045-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0ET-10A-01W-A055-09.wxs.N.hg38	0c1ac998-eb43-4353-a177-6847774f7176	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/0c1ac998-eb43-4353-a177-6847774f7176/TCGA-A2-A0ET-10A-01W-A055-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0ET.ATAC-Seq.T.hg38	79af6184-80f5-4141-b3d6-a90b8ce00385	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/atacseq/79af6184-80f5-4141-b3d6-a90b8ce00385/6f90de55-62b2-4f2a-9ed7-34ba5622e10b_atacseq_gdc_realn.bam
TCGA-A2-A0EV-01A-11W-A050-09.wxs.T.hg38	58a4ccd4-cf09-41b6-bfb4-96f95c4e917f	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/58a4ccd4-cf09-41b6-bfb4-96f95c4e917f/TCGA-A2-A0EV-01A-11W-A050-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0EV-10A-01W-A055-09.wxs.N.hg38	c44ceba8-a1d8-4c90-8fb6-5e5f145facf0	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/c44ceba8-a1d8-4c90-8fb6-5e5f145facf0/TCGA-A2-A0EV-10A-01W-A055-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0EX-01A-21W-A050-09.wxs.T.hg38	9ff476cd-1206-4c6c-8ad7-b760a06f03e8	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/9ff476cd-1206-4c6c-8ad7-b760a06f03e8/TCGA-A2-A0EX-01A-21W-A050-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0EX-10A-01W-A055-09.wxs.N.hg38	83a9bfa7-1966-4912-a539-f2b16d158755	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/83a9bfa7-1966-4912-a539-f2b16d158755/TCGA-A2-A0EX-10A-01W-A055-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0EX.ATAC-Seq.T.hg38	248cb9a1-3b47-42b6-ba38-9a1e1a905d9b	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/atacseq/248cb9a1-3b47-42b6-ba38-9a1e1a905d9b/bfb51f42-7bd6-42ba-9367-e32710542d19_atacseq_gdc_realn.bam
TCGA-A2-A0EY-01A-11W-A050-09.wxs.T.hg38	cc0df1c3-b1f0-408a-a6b9-a7deca8b29a9	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/cc0df1c3-b1f0-408a-a6b9-a7deca8b29a9/TCGA-A2-A0EY-01A-11W-A050-09_IlluminaGA-DNASeq_exome_1_gdc_realn.bam
TCGA-A2-A0EY-10A-01W-A055-09.wxs.N.hg38	4292e3b5-55e4-4388-8c44-f1f9c6fe2900	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/4292e3b5-55e4-4388-8c44-f1f9c6fe2900/TCGA-A2-A0EY-10A-01W-A055-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
TCGA-A2-A0SV-01A-11D-A099-09.wxs.T.hg38	bd00ee1c-63f0-43bc-bcab-b34ccce74af3	storage1	/storage1/fs1/dinglab/Active/Projects/ATACseq/primary/GDC/WXS/bd00ee1c-63f0-43bc-bcab-b34ccce74af3/TCGA-A2-A0SV-01A-11D-A099-09_IlluminaGA-DNASeq_exome_gdc_realn.bam
